860100,Charlie and the Chocolate Factory,Adventure,150000000,269366408,2005-07-15
870100,Ratatouille,Adventure,150000000,420104041,2007-06-29
880100,Austin Powers: The Spy Who Shagged Me,Comedy,35000000,106343402,1999-06-10
890100,Batman Begins,Action,150000000,153660728,2005-06-15
900100,Terminator 2: Judgment Day,Action,100000000,311926778,1991-07-02
910100,The Exorcist,Horror,12000000,197867132,1973-12-26
920100,The Mummy Returns,Adventure,98000000,233032755,2001-05-04
940100,Superman Returns,Adventure,232000000,190961192,2006-06-28
950100,Gone with the Wind,Drama,3900000,191844722,1939-12-15
960100,Pearl Harbor,Action,151500000,250699998,2001-05-25
970100,Monsters vs. Aliens,Adventure,175000000,183335854,2009-03-27
980100,Happy Feet,Adventure,85000000,187000000,2006-11-17
990100,Indiana Jones and the Last Crusade,Adventure,48000000,277000000,1989-05-24
1000100,Ice Age: The Meltdown,Adventure,75000000,456568661,2006-03-31
1010100,Ice Age: Dawn of the Dinosaurs,Adventure,90000000,690113112,2009-07-01
1020100,Madagascar,Adventure,75000000,362964045,2005-05-27
1030100,Toy Story,Adventure,30000000,172747718,1995-11-22
1040100,Twilight,Drama,37000000,209510305,2008-11-21
1050100,Men in Black 2,Action,140000000,251349000,2002-07-03
1060100,Gladiator,Action,103000000,270000000,2000-05-04
1070100,The Day After Tomorrow,Adventure,125000000,369099318,2004-05-27
1080100,Mr. and Mrs. Smith,Action,110000000,299787811,2005-06-10
1100100,Dances with Wolves,Western,19000000,240000000,1990-11-09
1110100,Batman Forever,Action,100000000,152498032,1995-06-16
1130100,Ocean's Eleven,Thriller/Suspense,85000000,267311379,2001-12-07
1140100,The Simpsons Movie,Adventure,72500000,343936008,2007-07-26
1150100,What Women Want,Romantic Comedy,65000000,191300000,2000-12-15
1160100,The Perfect Storm,Drama,120000000,146093000,2000-06-30
1170100,Grease,Musical,6000000,205670127,1978-06-16
1180100,Liar Liar,Comedy,45000000,121300000,1997-03-21
1190100,Jurassic Park III,Action,93000000,184733885,2001-07-18
1210100,The Polar Express,Adventure,170000000,124140582,2004-11-10
1220100,Planet of the Apes,Adventure,100000000,182200000,2001-07-27
1230100,Madagascar: Escape 2 Africa,Adventure,150000000,419505894,2008-11-07
1240100,Indiana Jones and the Temple of Doom,Adventure,28000000,153200000,1984-05-23
1250100,X-Men Origins: Wolverine,Action,150000000,194942603,2009-05-01
