"movie_odid","display_name","production_company","billing","financing","in_association_with","production"
"10100","Titanic","20th Century Fox","1","1","0","0"
"10100","Titanic","Paramount Pictures","3","1","0","0"
"10100","Titanic","Lightstorm Entertainment","2","0","0","1"
"20100","The Dark Knight","Legendary Pictures","2","1","1","0"
"20100","The Dark Knight","Warner Bros.","1","1","0","0"
"20100","The Dark Knight","Syncopy","3","0","0","1"
"30100","Star Wars Ep. IV: A New Hope","20th Century Fox","1","1","0","1"
"40100","Shrek 2","PDI","2","0","0","1"
"40100","Shrek 2","DreamWorks Animation","3","0","0","1"
"40100","Shrek 2","DreamWorks Pictures","1","1","0","0"
"50100","E.T. the Extra-Terrestrial","Universal Pictures","1","1","0","1"
"60100","Star Wars Ep. I: The Phantom Menace","Lucasfilm","2","0","0","1"
"60100","Star Wars Ep. I: The Phantom Menace","20th Century Fox","1","1","0","0"
"70100","Pirates of the Caribbean: Dead Man’s Chest","Walt Disney Pictures","1","1","0","1"
"70100","Pirates of the Caribbean: Dead Man’s Chest","Jerry Bruckheimer","2","1","1","1"
"80100","Spider-Man","Columbia Pictures","NULL","NULL","NULL","NULL"
"80100","Spider-Man","Marvel Studios","NULL","NULL","NULL","NULL"
"80100","Spider-Man","Laura Ziskin Productions","NULL","NULL","NULL","NULL"
"90100","Transformers: Revenge of the Fallen","DreamWorks Pictures","2","1","0","0"
"90100","Transformers: Revenge of the Fallen","Paramount Pictures","1","1","0","0"
"90100","Transformers: Revenge of the Fallen","Hasbro Studios","3","1","1","0"
"90100","Transformers: Revenge of the Fallen","di Bonaventura Pictures","4","0","0","1"
"90100","Transformers: Revenge of the Fallen","Tom DeSanto","5","0","0","1"
"90100","Transformers: Revenge of the Fallen","Don Murphy","6","0","0","1"
"100100","Star Wars Ep. III: Revenge of the Sith","Lucasfilm","NULL","NULL","NULL","NULL"
"110100","The Lord of the Rings: The Return of the King","Wingnut Films","1","NULL","NULL","1"
"110100","The Lord of the Rings: The Return of the King","New Line Cinema","2","1","NULL","NULL"
"120100","Spider-Man 2","Columbia Pictures","NULL","NULL","NULL","NULL"
"120100","Spider-Man 2","Marvel Studios","NULL","NULL","NULL","NULL"
"120100","Spider-Man 2","Laura Ziskin Productions","NULL","NULL","NULL","NULL"
"130100","The Passion of the Christ","Icon Productions","1","1","NULL","1"
"130100","The Passion of the Christ","Newmarket Films","2","1","1","NULL"
"140100","Jurassic Park","Universal Pictures","1","NULL","NULL","NULL"
"140100","Jurassic Park","Amblin Entertainment","2","NULL","NULL","NULL"
"150100","The Lord of the Rings: The Two Towers","Wingnut Films","NULL","NULL","NULL","NULL"
"160100","Finding Nemo","Disney-Pixar","2","0","NULL","1"
"160100","Finding Nemo","Walt Disney Pictures","1","1","NULL","NULL"
"170100","Spider-Man 3","Columbia Pictures","1","1","NULL","NULL"
"170100","Spider-Man 3","Marvel Studios","2","NULL","NULL","1"
"170100","Spider-Man 3","Laura Ziskin Productions","3","NULL","NULL","1"
"180100","Forrest Gump","Steve Tisch Productions","1","NULL","NULL","1"
"180100","Forrest Gump","Wendy Fineman Productions","2","NULL","NULL","1"
"180100","Forrest Gump","Paramount Pictures","3","1","NULL","NULL"
"190100","The Lion King","Walt Disney Pictures","1","1","0","1"
"200100","Shrek the Third","DreamWorks Animation","NULL","NULL","NULL","NULL"
"200100","Shrek the Third","PDI","NULL","NULL","NULL","NULL"
"210100","Transformers","DreamWorks Pictures","NULL","NULL","NULL","NULL"
"210100","Transformers","Paramount Pictures","NULL","NULL","NULL","NULL"
"210100","Transformers","Hasbro Studios","NULL","NULL","NULL","NULL"
"210100","Transformers","di Bonaventura Pictures","NULL","NULL","NULL","NULL"
"220100","Iron Man","Paramount Pictures","1","NULL","NULL","NULL"
"220100","Iron Man","Marvel Studios","2","NULL","NULL","NULL"
"220100","Iron Man","Fairview Entertainment","3","NULL","NULL","NULL"
"230100","Harry Potter and the Sorcerer’s Stone","Heyday Films","NULL","NULL","NULL","NULL"
"230100","Harry Potter and the Sorcerer’s Stone","1492 Pictures","NULL","NULL","NULL","NULL"
"230100","Harry Potter and the Sorcerer’s Stone","Duncan Henderson Productions","NULL","NULL","NULL","NULL"
"240100","Indiana Jones and the Kingdom of the Crystal Skull","Lucasfilm","1","NULL","NULL","1"
"250100","The Lord of the Rings: The Fellowship of the Ring","New Line Cinema","1","1","NULL","NULL"
"250100","The Lord of the Rings: The Fellowship of the Ring","Wingnut Films","2","NULL","NULL","1"
"260100","Star Wars Ep. II: Attack of the Clones","Lucasfilm","1","NULL","NULL","NULL"
"270100","Pirates of the Caribbean: At World’s End","Walt Disney Pictures","1","1","NULL","NULL"
"270100","Pirates of the Caribbean: At World’s End","Jerry Bruckheimer","2","NULL","NULL","1"
"280100","Star Wars Ep. VI: Return of the Jedi","Lucasfilm","1","NULL","NULL","1"
"300100","Pirates of the Caribbean: The Curse of the Black Pearl","Walt Disney Pictures","1","1","NULL","NULL"
"300100","Pirates of the Caribbean: The Curse of the Black Pearl","Jerry Bruckheimer","2","1","1","1"
"310100","Harry Potter and the Half-Blood Prince","Heyday Films","1","NULL","NULL","1"
"320100","The Sixth Sense","Hollywood Pictures","1","1","NULL","NULL"
"320100","The Sixth Sense","Spyglass Entertainment","2","NULL","NULL","1"
"330100","Harry Potter and the Order of the Phoenix","Heyday Films","1","NULL","NULL","1"
"340100","Up","Walt Disney Pictures","1","1","NULL","NULL"
"340100","Up","Disney-Pixar","2","NULL","NULL","1"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Walt Disney Pictures","1","1","0","0"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Walden Media","2","1","0","0"
"350100","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Mark Johnson","3","0","0","1"
"360100","Star Wars Ep. V: The Empire Strikes Back","Lucasfilm","NULL","NULL","NULL","NULL"
"370100","Harry Potter and the Goblet of Fire","Warner Bros.","1","NULL","NULL","NULL"
"370100","Harry Potter and the Goblet of Fire","Heyday Films","2","NULL","NULL","NULL"
"380100","Home Alone","20th Century Fox","1","1","NULL","1"
"390100","The Matrix Reloaded","Warner Bros.","1","1","NULL","NULL"
"390100","The Matrix Reloaded","Village Roadshow Productions","2","1","1","NULL"
"390100","The Matrix Reloaded","NPV Entertainment","3","NULL","NULL","1"
"390100","The Matrix Reloaded","Silver Pictures","4","NULL","NULL","1"
"400100","Meet the Fockers","Universal Pictures","1","NULL","NULL","NULL"
"400100","Meet the Fockers","Dreamworks LLC","2","NULL","NULL","NULL"
"400100","Meet the Fockers","Tribeca Film","3","NULL","NULL","NULL"
"400100","Meet the Fockers","Everyman Pictures","4","NULL","NULL","NULL"
"410100","The Hangover","Warner Bros.","1","1","NULL","NULL"
"410100","The Hangover","Legendary Pictures","2","1","1","NULL"
"410100","The Hangover","Green Hat Films","3","NULL","NULL","1"
"420100","Shrek","DreamWorks Animation","1","1","NULL","1"
"420100","Shrek","PDI","2","NULL","NULL","1"
"430100","Harry Potter and the Chamber of Secrets","Warner Bros.","1","NULL","NULL","NULL"
"430100","Harry Potter and the Chamber of Secrets","Heyday Films","2","NULL","NULL","NULL"
"430100","Harry Potter and the Chamber of Secrets","1492 Pictures","3","NULL","NULL","NULL"
"440100","The Incredibles","Walt Disney Pictures","1","1","NULL","NULL"
"440100","The Incredibles","Disney-Pixar","2","NULL","NULL","1"
"450100","How the Grinch Stole Christmas","Universal Pictures","1","1","NULL","NULL"
"450100","How the Grinch Stole Christmas","Imagine Entertainment","2","1","NULL","NULL"
"450100","How the Grinch Stole Christmas","Brian Grazer Productions","3","NULL","NULL","1"
"460100","Jaws","Universal Pictures","1","1","NULL","NULL"
"460100","Jaws","Zancuk Company","2","NULL","NULL","1"
"460100","Jaws","David Brown","3","NULL","NULL","1"
"470100","Star Trek","Bad Robot","1","NULL","NULL","NULL"
"480100","I am Legend","Village Roadshow Productions","1","1","NULL","NULL"
"480100","I am Legend","Weed Road Pictures","2","NULL","NULL","1"
"480100","I am Legend","Overbrook Entertainment","3","NULL","NULL","1"
"490100","Monsters, Inc.","Walt Disney Pictures","1","1","NULL","NULL"
"490100","Monsters, Inc.","Disney-Pixar","2","NULL","NULL","1"
"500100","Batman","Guber-Peters","1","NULL","NULL","1"
"500100","Batman","Warner Bros.","2","0","NULL","1"
"510100","Night at the Museum","20th Century Fox","1","1","NULL","NULL"
"510100","Night at the Museum","Ingenious Film Partners","2","1","1","NULL"
"510100","Night at the Museum","1492 Pictures","3","NULL","NULL","1"
"510100","Night at the Museum","21 Laps Entertainment","4","NULL","NULL","1"
"530100","Harry Potter and the Prisoner of Azkaban","Warner Bros.","1","NULL","NULL","NULL"
"530100","Harry Potter and the Prisoner of Azkaban","Heyday Films","2","NULL","NULL","NULL"
"530100","Harry Potter and the Prisoner of Azkaban","1492 Pictures","3","NULL","NULL","NULL"
"540100","Toy Story 2","Disney-Pixar","2","NULL","NULL","1"
"540100","Toy Story 2","Walt Disney Pictures","1","1","NULL","NULL"
"550100","Raiders of the Lost Ark","Lucasfilm","1","NULL","NULL","NULL"
"560100","Cars","Disney-Pixar","NULL","NULL","NULL","NULL"
"570100","Bruce Almighty","Spyglass Entertainment","1","1","NULL","NULL"
"570100","Bruce Almighty","Sahdy Acres","2","NULL","NULL","1"
"570100","Bruce Almighty","Pitt Bull","3","NULL","NULL","1"
"590100","My Big Fat Greek Wedding","Gold Circle Films","NULL","NULL","NULL","NULL"
"600100","Ghostbusters","Columbia Pictures","NULL","NULL","NULL","NULL"
"610100","Beverly Hills Cop","Don Simpson","1","NULL","NULL","1"
"610100","Beverly Hills Cop","Jerry Bruckheimer","2","NULL","NULL","1"
"610100","Beverly Hills Cop","Eddie Murphy Production","3","NULL","1","1"
"620100","X-Men: The Last Stand","20th Century Fox","1","NULL","NULL","NULL"
"630100","War of the Worlds","Paramount Pictures","1","1","NULL","NULL"
"630100","War of the Worlds","DreamWorks Pictures","2","1","NULL","NULL"
"630100","War of the Worlds","Amblin Entertainment","3","NULL","NULL","1"
"630100","War of the Worlds","Cruise-Wagner","4","NULL","NULL","1"
"640100","Cast Away","DreamWorks Pictures","1","1","NULL","NULL"
"640100","Cast Away","ImageMovers","2","NULL","NULL","1"
"640100","Cast Away","Playtone","3","NULL","NULL","1"
"640100","Cast Away","Twentieth Century Fox","4","1","NULL","NULL"
"650100","The Lost World: Jurassic Park","Amblin Entertainment","1","NULL","NULL","1"
"660100","Signs","Touchstone Pictures","1","1","NULL","NULL"
"660100","Signs","Blinding Edge Pictures","2","NULL","NULL","1"
"660100","Signs","The Kennedy/Marshall Company","3","NULL","NULL","1"
"670100","Hancock","Columbia Pictures","1","1","1","NULL"
"670100","Hancock","Relativity Media","2","1","NULL","NULL"
"670100","Hancock","Blue Light","3","NULL","NULL","1"
"670100","Hancock","Weed Road Pictures","4","NULL","NULL","1"
"670100","Hancock","Overbrook Entertainment","5","NULL","NULL","1"
"700100","WALL-E","Disney-Pixar","1","NULL","NULL","1"
"700100","WALL-E","Walt Disney Pictures","2","1","NULL","NULL"
"710100","National Treasure: Book of Secrets","Walt Disney Pictures","1","1","NULL","NULL"
"710100","National Treasure: Book of Secrets","Jerry Bruckheimer Films","2","1","NULL","NULL"
"710100","National Treasure: Book of Secrets","Junction Entertainment","3","NULL","NULL","1"
"710100","National Treasure: Book of Secrets","Saturn Films","4","NULL","1","1"
"730100","King Kong","Wingnut Films","1","NULL","NULL","1"
"740100","Ghost","Paramount Pictures","1","1","NULL","1"
"750100","The Da Vinci Code","Columbia Pictures","1","1","NULL","NULL"
"750100","The Da Vinci Code","Imagine Entertainment","2","1","NULL","NULL"
"750100","The Da Vinci Code","Brian Grazer Productions","3","NULL","NULL","1"
"750100","The Da Vinci Code","John Calley","4","NULL","NULL","1"
"760100","Aladdin","Walt Disney Animation Studios","NULL","NULL","NULL","NULL"
"770100","Alvin and the Chipmunks","Regency Enterprises","1","1","NULL","NULL"
"770100","Alvin and the Chipmunks","Fox 2000 Pictures","2","1","NULL","NULL"
"770100","Alvin and the Chipmunks","Bagdasarian Company","3","NULL","NULL","1"
"780100","Saving Private Ryan","Amblin Entertainment","1","NULL","NULL","1"
"780100","Saving Private Ryan","Mutual Film Company","2","NULL","1","1"
"790100","Kung Fu Panda","DreamWorks Animation","1","1","NULL","NULL"
"800100","Mission: Impossible 2","Cruise-Wagner","1","NULL","NULL","NULL"
"810100","X-Men 2","20th Century Fox","1","NULL","NULL","NULL"
"820100","Austin Powers in Goldmember","Gratitude International","1","NULL","NULL","1"
"820100","Austin Powers in Goldmember","Team Todd","2","NULL","NULL","1"
"840100","Back to the Future","Amblin Entertainment","NULL","NULL","NULL","NULL"
"850100","Wedding Crashers","Tapestry Films","1","NULL","NULL","1"
"860100","Charlie and the Chocolate Factory","Village Roadshow Productions","2","1","1","NULL"
"860100","Charlie and the Chocolate Factory","Warner Bros.","1","1","NULL","NULL"
"860100","Charlie and the Chocolate Factory","Zancuk Company","3","NULL","NULL","1"
"860100","Charlie and the Chocolate Factory","Plan B Entertainment","4","NULL","NULL","1"
"870100","Ratatouille","Walt Disney Pictures","1","1","NULL","NULL"
"870100","Ratatouille","Disney-Pixar","2","NULL","NULL","1"
"880100","Austin Powers: The Spy Who Shagged Me","Eric's Boy","1","NULL","NULL","1"
"880100","Austin Powers: The Spy Who Shagged Me","Moving Pictures    ","1","NULL","NULL","1"
"880100","Austin Powers: The Spy Who Shagged Me","Team Todd","2","NULL","NULL","1"
"890100","Batman Begins","Legendary Pictures","NULL","NULL","NULL","NULL"
"900100","Terminator 2: Judgment Day","Carolco Pictures","1","NULL","NULL","1"
"900100","Terminator 2: Judgment Day","Pacific Western","2","NULL","NULL","1"
"900100","Terminator 2: Judgment Day","Lightstorm Entertainment","3","NULL","1","1"
"910100","The Exorcist","Warner Bros.","1","NULL","NULL","NULL"
"920100","The Mummy Returns","Alphaville","1","NULL","NULL","1"
"940100","Superman Returns","Warner Bros.","1","1","NULL","NULL"
"940100","Superman Returns","Legendary Pictures","2","1","1","NULL"
"940100","Superman Returns","Jon Peters","3","NULL","NULL","1"
"940100","Superman Returns","Bad Hat Harry Productions","4","NULL","1","1"
"950100","Gone with the Wind","Metro-Goldwyn-Mayer Pictures","1","NULL","NULL","NULL"
"960100","Pearl Harbor","Touchstone Pictures","1","1","NULL","NULL"
"960100","Pearl Harbor","Jerry Bruckheimer","2","1","NULL","1"
"970100","Monsters vs. Aliens","DreamWorks Animation","1","1","NULL","1"
"980100","Happy Feet","Warner Bros.","1","1","NULL","NULL"
"980100","Happy Feet","Village Roadshow Productions","2","1","1","NULL"
"980100","Happy Feet","Kennedy Miller","3","NULL","NULL","1"
"980100","Happy Feet","Animal Logic","4","NULL","1","1"
"990100","Indiana Jones and the Last Crusade","Lucasfilm","1","NULL","NULL","1"
"1000100","Ice Age: The Meltdown","Twentieth Century Fox","1","NULL","NULL","1"
"1010100","Ice Age: Dawn of the Dinosaurs","Blue Sky Studios","1","NULL","NULL","1"
"1020100","Madagascar","DreamWorks Animation","1","1","NULL","1"
"1020100","Madagascar","PDI","2","NULL","NULL","1"
"1030100","Toy Story","Disney-Pixar","NULL","0","0","1"
"1040100","Twilight","Temple Hill Entertainment","NULL","NULL","NULL","NULL"
"1040100","Twilight","Maverick Films","NULL","NULL","NULL","NULL"
"1040100","Twilight","Imprint Entertainment","NULL","NULL","NULL","NULL"
"1040100","Twilight","Summit Entertainment","NULL","NULL","NULL","NULL"
"1050100","Men in Black 2","Columbia Pictures","1","NULL","NULL","NULL"
"1060100","Gladiator","DreamWorks Pictures","1","1","NULL","NULL"
"1060100","Gladiator","Universal Pictures","2","1","NULL","NULL"
"1060100","Gladiator","Douglas Wick","3","NULL","NULL","1"
"1060100","Gladiator","Scott Free Films","4","NULL","NULL","1"
"1070100","The Day After Tomorrow","Centropolis Entertainment","1","NULL","NULL","1"
"1070100","The Day After Tomorrow","Lionsgate","2","NULL","NULL","1"
"1070100","The Day After Tomorrow","The Mark Gordon Company","3","NULL","NULL","1"
"1080100","Mr. and Mrs. Smith","Regency Enterprises","1","1","NULL","NULL"
"1080100","Mr. and Mrs. Smith","New Regency","2","NULL","NULL","1"
"1080100","Mr. and Mrs. Smith","Summit Entertainment","3","NULL","NULL","1"
"1080100","Mr. and Mrs. Smith","Weed Road Pictures","4","NULL","NULL","1"
"1100100","Dances with Wolves","Tig Productions","1","NULL","NULL","1"
"1110100","Batman Forever","Warner Bros.","1","NULL","NULL","NULL"
"1130100","Ocean's Eleven","Warner Bros.","1","1","NULL","NULL"
"1130100","Ocean's Eleven","Village Roadshow Productions","2","1","1","NULL"
"1130100","Ocean's Eleven","NPV Entertainment","3","1","1","NULL"
"1130100","Ocean's Eleven","Jerry Weintraub","4","NULL","NULL","1"
"1130100","Ocean's Eleven","Section Eight","5","NULL","NULL","1"
"1140100","The Simpsons Movie","Gracie Films","1","NULL","NULL","1"
"1140100","The Simpsons Movie","Matt Groening","2","NULL","NULL","1"
"1150100","What Women Want","Paramount Pictures","1","1","NULL","NULL"
"1150100","What Women Want","Icon Productions","2","1","NULL","1"
"1150100","What Women Want","Wind Dancer Films","3","NULL","NULL","1"
"1160100","The Perfect Storm","Baltimore Spring Creek Pictures","1","NULL","NULL","1"
"1160100","The Perfect Storm","Radiant Productions","2","NULL","1","1"
"1180100","Liar Liar","Universal Pictures","1","NULL","NULL","1"
"1180100","Liar Liar","Imagine Entertainment","2","NULL","NULL","1"
"1210100","The Polar Express","Playtone","NULL","NULL","NULL","NULL"
"1210100","The Polar Express","ImageMovers","NULL","NULL","NULL","NULL"
"1210100","The Polar Express","Golden Mean","NULL","NULL","NULL","NULL"
"1210100","The Polar Express","Castle Rock Entertainment","NULL","NULL","NULL","NULL"
"1210100","The Polar Express","Shangri-La Entertainment","NULL","NULL","NULL","NULL"
"1220100","Planet of the Apes","Zancuk Company","1","NULL","NULL","1"
"1230100","Madagascar: Escape 2 Africa","DreamWorks Animation","1","1","NULL","1"
"1240100","Indiana Jones and the Temple of Doom","Lucasfilm","1","NULL","NULL","NULL"
"1250100","X-Men Origins: Wolverine","20th Century Fox","1","1","NULL","NULL"
"1250100","X-Men Origins: Wolverine","Marvel Studios","2","1","1","NULL"
"1250100","X-Men Origins: Wolverine","Dune Entertainment","3","1","1","NULL"
"1250100","X-Men Origins: Wolverine","Donners’ Company","4","NULL","0","1"
"1250100","X-Men Origins: Wolverine","Seed Productions","5","NULL","NULL","1"
"1260100","Pretty Woman","Touchstone Pictures","1","NULL","NULL","1"
"1260100","Pretty Woman","Regency Enterprises","2","1","NULL","NULL"
"1270100","Hitch","Columbia Pictures","1","1","NULL","NULL"
"1270100","Hitch","Overbrook Entertainment","2","NULL","NULL","1"
"1290100","Night at the Museum: Battle of the Smithsonian","Twentieth Century Fox","1","NULL","NULL","1"
"1290100","Night at the Museum: Battle of the Smithsonian","1492 Pictures","2","NULL","NULL","NULL"
"1300100","Top Gun","Don Simpson","1","NULL","NULL","1"
"1300100","Top Gun","Jerry Bruckheimer","2","NULL","NULL","1"
"1310100","There's Something About Mary","20th Century Fox","1","NULL","NULL","NULL"
"1320100","Ice Age","Blue Sky Studios","1","NULL","NULL","1"
"1330100","The Bourne Supremacy","The Kennedy/Marshall Company","1","NULL","NULL","1"
"1330100","The Bourne Supremacy","Ludlum Entertainment","2","NULL","1","1"
"1350100","Home Alone 2: Lost in New York","Twentieth Century Fox","1","1","NULL","1"
"1360100","Elf","Guy Walks Into a Bar","1","NULL","NULL","1"
"1370100","National Treasure","Walt Disney Pictures","1","1","NULL","NULL"
"1370100","National Treasure","Jerry Bruckheimer","2","1","1","NULL"
"1370100","National Treasure","Junction Entertainment","3","NULL","NULL","1"
"1370100","National Treasure","Saturn Films","4","NULL","1","1"
"1410100","The Matrix","Village Roadshow Productions","1","1","NULL","NULL"
"1410100","The Matrix","Groucho II Film Partnership","2","1","NULL","NULL"
"1410100","The Matrix","Silver Pictures","3","NULL","NULL","1"
"1420100","Beauty and the Beast","Walt Disney Animation Studios","1","NULL","NULL","NULL"
"1430100","Tarzan","Walt Disney Animation Studios","1","1","NULL","NULL"
"1430100","Tarzan","Bonnie Arnold","2","NULL","NULL","1"
"1440100","A Beautiful Mind","DreamWorks Pictures","1","1","NULL","NULL"
"1440100","A Beautiful Mind","Imagine Entertainment","2","1","NULL","NULL"
"1440100","A Beautiful Mind","Brian Grazer Productions","3","NULL","NULL","1"
"1450100","Chicago","Producer Circle Company","1","NULL","NULL","1"
"1460100","Quantum of Solace","Eon Productions","1","1","NULL","0"
"1460100","Quantum of Solace","Metro-Goldwyn-Mayer Pictures","2","NULL","NULL","1"
"1460100","Quantum of Solace","Columbia Pictures","3","NULL","NULL","1"
"1470100","Wild Hogs","Touchstone Pictures","1","1","NULL","NULL"
"1470100","Wild Hogs","Tollin/Robbins","2","NULL","NULL","1"
"1490100","Casino Royale","Eon Productions","1","1","NULL","1"
"1490100","Casino Royale","Metro-Goldwyn-Mayer Pictures","2","1","NULL","NULL"
"1490100","Casino Royale","Columbia Pictures","3","1","NULL","NULL"
"1500100","Meet the Parents","Universal Pictures","1","1","NULL","NULL"
"1500100","Meet the Parents","DreamWorks Pictures","2","1","NULL","NULL"
"1500100","Meet the Parents","Nancy Tenenbaum","3","NULL","NULL","1"
"1510100","Close Encounters of the Third Kind","Columbia Pictures","1","NULL","NULL","NULL"
"1510100","Close Encounters of the Third Kind","EMI","2","NULL","NULL","NULL"
"1510100","Close Encounters of the Third Kind","Phillips","3","NULL","NULL","NULL"
"1510100","Close Encounters of the Third Kind","Steven Spielberg","4","NULL","NULL","NULL"
"1530100","Hannibal","Metro-Goldwyn-Mayer Pictures","1","1","NULL","NULL"
"1530100","Hannibal","Dino De Laurentiis","2","1","1","NULL"
"1530100","Hannibal","Scott Free Films","3","NULL","NULL","1"
"1540100","Catch Me if You Can","DreamWorks Pictures","NULL","NULL","NULL","NULL"
"1540100","Catch Me if You Can","Amblin Entertainment","NULL","NULL","NULL","NULL"
"1550100","Big Daddy","Columbia Pictures","1","1","NULL","NULL"
"1550100","Big Daddy","Out of the Blue Entertainment","2","NULL","NULL","1"
"1550100","Big Daddy","Jack Giarraputo","3","NULL","NULL","1"
"1580100","A Bug's Life","Disney-Pixar","2","NULL","NULL","1"
"1580100","A Bug's Life","Walt Disney Pictures","1","1","NULL","NULL"
"1590100","The Pursuit of Happyness","Columbia Pictures","1","1","NULL","NULL"
"1590100","The Pursuit of Happyness","Relativity Media","2","NULL","1","1"
"1590100","The Pursuit of Happyness","Overbrook Entertainment","3","NULL","NULL","1"
"1590100","The Pursuit of Happyness","Escape Artists","4","NULL","NULL","1"
"1600100","The Proposal","Touchstone Pictures","1","1","NULL","NULL"
"1600100","The Proposal","Mandeville Films","2","NULL","NULL","1"
"1610100","The Waterboy","Touchstone Pictures","1","1","NULL","NULL"
"1610100","The Waterboy","Robert Simonds Company","2","NULL","NULL","1"
"1610100","The Waterboy","Jack Giarraputo","3","NULL","NULL","1"
"1620100","Die Another Day","Eon Productions","1","1","NULL","1"
"1620100","Die Another Day","Metro-Goldwyn-Mayer Pictures","2","1","NULL","NULL"
"1630100","Shark Tale","DreamWorks Animation","1","NULL","NULL","1"
"1660100","The Longest Yard","Paramount Pictures","1","1","NULL","NULL"
"1660100","The Longest Yard","Columbia Pictures","2","1","NULL","NULL"
"1660100","The Longest Yard","Happy Madison","3","NULL","NULL","1"
"1660100","The Longest Yard","MTV Films","4","NULL","NULL","1"
"1660100","The Longest Yard","Callahan Filmworks","5","NULL","NULL","1"
"1670100","X-Men","20th Century Fox","1","1","NULL","NULL"
"1670100","X-Men","Marvel Studios","2","1","1","NULL"
"1670100","X-Men","Donners’ Company","3","NULL","NULL","1"
"1670100","X-Men","Bad Hat Harry Productions","4","NULL","NULL","1"
"1680100","Scary Movie","Wayans Brothers Entertainment","1","NULL","NULL","1"
"1680100","Scary Movie","Gold-Miller","2","NULL","NULL","1"
"1680100","Scary Movie","Brad Grey","3","NULL","NULL","1"
"1700100","What Lies Beneath","DreamWorks Pictures","1","1","NULL","NULL"
"1700100","What Lies Beneath","20th Century Fox","2","1","NULL","NULL"
"1700100","What Lies Beneath","ImageMovers","3","NULL","NULL","1"
"1710100","The Mummy","Alphaville","1","NULL","NULL","1"
"1720100","Fast & Furious","Universal Pictures","1","NULL","NULL","NULL"
"1730100","Over the Hedge","DreamWorks Animation","1","1","NULL","NULL"
"1730100","Over the Hedge","Bonnie Arnold","2","NULL","NULL","1"
"1740100","Fantastic Four","20th Century Fox","1","1","NULL","NULL"
"1740100","Fantastic Four","Constantin Film","2","1","1","NULL"
"1740100","Fantastic Four","Marvel Studios","3","1","1","NULL"
"1740100","Fantastic Four","1492 Pictures","4","NULL","NULL","1"
"1740100","Fantastic Four","Bernd Eichinger","5","NULL","NULL","1"
"1750100","Horton Hears a Who","20th Century Fox Animation","1","1","NULL","NULL"
"1750100","Horton Hears a Who","Blue Sky Studios","2","NULL","NULL","1"
"1770100","Jerry Maguire","Tri-Star Pictures","1","NULL","NULL","1"
"1790100","Scooby-Doo","Mosaic Media","1","NULL","NULL","1"
"1810100","Sex and the City","New Line Cinema","1","1","NULL","NULL"
"1810100","Sex and the City","HBO Films","2","1","1","NULL"
"1810100","Sex and the City","Darren Star","3","NULL","NULL","1"
"1820100","Runaway Bride","Paramount Pictures","1","1","NULL","NULL"
"1820100","Runaway Bride","Touchstone Pictures","2","1","NULL","NULL"
"1820100","Runaway Bride","Interscope Films","3","NULL","NULL","1"
"1820100","Runaway Bride","Lakeshore Entertainment","4","NULL","1","1"
"1850100","Knocked Up","Universal Pictures","1","1","NULL","NULL"
"1850100","Knocked Up","Judd Apatow","2","NULL","NULL","1"
"1860100","As Good as it Gets","Gracie Films","1","NULL","NULL","NULL"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","Columbia Pictures","1","1","NULL","NULL"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","Relativity Media","2","1","1","NULL"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","Judd Apatow","3","NULL","NULL","1"
"1870100","Talladega Nights: The Ballad of Ricky Bobby","Mosaic Media","4","NULL","NULL","1"
"1880100","Gremlins","Amblin Entertainment","1","NULL","NULL","NULL"
"1890100","Gran Torino","Warner Bros.","1","1","NULL","NULL"
"1890100","Gran Torino","Village Roadshow Productions","2","1","1","NULL"
"1890100","Gran Torino","Double Nickel Entertainment","3","NULL","NULL","1"
"1890100","Gran Torino","Malpaso Productions","4","NULL","NULL","1"
"1910100","G.I. Joe: The Rise of Cobra","di Bonaventura Pictures","4","NULL","NULL","1"
"1910100","G.I. Joe: The Rise of Cobra","Paramount Pictures","1","1","NULL","NULL"
"1910100","G.I. Joe: The Rise of Cobra","Spyglass Entertainment","2","1","NULL","NULL"
"1910100","G.I. Joe: The Rise of Cobra","Hasbro Studios","3","1","1","NULL"
"1920100","Paul Blart: Mall Cop","Columbia Pictures","1","1","NULL","NULL"
"1920100","Paul Blart: Mall Cop","Relativity Media","2","1","1","NULL"
"1920100","Paul Blart: Mall Cop","Happy Madison","3","NULL","NULL","1"
"1940100","Lilo & Stitch","Walt Disney Pictures","1","NULL","NULL","NULL"
"1940100","Lilo & Stitch","Clark Spencer","2","NULL","NULL","NULL"
"1960100","Taken","EuropaCorp","1","1","NULL","1"
"1960100","Taken","M6 Films","2","NULL","NULL","1"
"1960100","Taken","Grive Productions","3","NULL","NULL","1"
"1960100","Taken","Canal Plus","4","NULL","1","1"
"1960100","Taken","TPS Star","5","NULL","1","1"
"1970100","The Santa Clause","Walt Disney Pictures","1","1","NULL","NULL"
"1970100","The Santa Clause","Hollywood Pictures","2","NULL","NULL","1"
"1970100","The Santa Clause","Outlaw Productions","3","NULL","NULL","1"
