"movie_odid","display_name","franchise"
"2320100","101 Dalmatians","101 Dalmatians"
"2350100","Teenage Mutant Ninja Turtles","Teenage Mutant Ninja Turtles"
"2370100","The Godfather","Godfather"
"2380100","The Incredible Hulk","Hulk"
"2380100","The Incredible Hulk","Marvel Cinematic Universe"
"2390100","Live Free or Die Hard","Die Hard"
"2410100","Superman","Superman"
"2430100","Mission: Impossible III","Mission: Impossible"
"2440100","Angels & Demons","Da Vinci Code"
"2480100","Hulk","Hulk"
"2500100","Fantastic Four: Rise of the Silver Surfer","Fantastic Four"
"2510100","Lara Croft: Tomb Raider","Lara Croft"
"2520100","The Silence of the Lambs","Hannibal Lecter"
"2530100","Honey, I Shrunk the Kids","Honey I Shrunk the Kids"
"2550100","Lethal Weapon 4","Lethal Weapon"
"2600100","The Ring","Ring"
"2650100","Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon"
"2660100","Rocky IV","Rocky"
"2700100","Dumb & Dumber","Dumb and Dumber"
"2720100","The World is Not Enough","James Bond"
"2810100","Ocean's Twelve","Ocean's Eleven"
"2820100","Terminator Salvation","Terminator"
"2830100","Charlie's Angels","Charlie's Angels"
"2840100","Tomorrow Never Dies","James Bond"
"2850100","Rocky III","Rocky"
"2900100","City Slickers","City Slickers"
"2920100","Nutty Professor II: The Klumps","Nutty Professor"
"2950100","Wayne's World","Wayne's World"
"2960100","The Bourne Identity","Bourne"
"2980100","Speed","Speed"
"3000100","The Hunt for Red October","Jack Ryan"
"3010100","Mulan","Mulan"
"3050100","The Mask","Mask"
"3170100","The Sum of All Fears","Jack Ryan"
"3180100","Back to the Future Part II","Back to the Future"
"3200100","Big Momma's House","Big Momma's House"
"3210100","Die Hard 2","Die Hard"
"3220100","Rocky","Rocky"
"3240100","Ocean's Thirteen","Ocean's Eleven"
"3310100","Ghost Rider","Ghost Rider"
"3340100","American Graffiti","American Graffiti"
"3430100","Dr. Dolittle 2","Doctor Dolittle"
"3440100","Spy Kids","Spy Kids"
"3490100","Spy Kids 3-D: Game Over","Spy Kids"
"3530100","The Little Mermaid","The Little Mermaid"
"3570100","The Grudge","Grudge"
"3600100","Scary Movie 3","Scary Movie"
"3700100","The Princess Diaries","Princess Diaries"
"3760100","Analyze This","Analyze This"
"3770100","Miss Congeniality","Miss Congeniality"
"3810100","Goldeneye","James Bond"
"3840100","The Italian Job","Italian Job"
"3910100","American Wedding","American Pie"
"3930100","Daddy Day Care","Daddy Day Care"
"3980100","Scream","Scream"
"4040100","The Mummy: Tomb of the Dragon Emperor","Mummy"
"4050100","Butch Cassidy and the Sundance Kid","Butch Cassidy and the Sundance Kid"
"4060100","Mary Poppins","Mary Poppins"
"4080100","American Pie","American Pie"
"4090100","Journey to the Center of the Earth","Journey to the Center of the Earth"
"4150100","Scream 2","Scream"
"4230100","Charlie's Angels: Full Throttle","Charlie's Angels"
"4260100","The Rugrats Movie","Rugrats Movie"
"4300100","Jumanji","Jumanji"
"4330100","Evan Almighty","Bruce Almighty"
"4350100","The Hunchback of Notre Dame","The Hunchback of Notre Dame"
"4480100","Legally Blonde","Legally Blonde"
"4550100","The Princess Diaries 2: Royal Engagement","Princess Diaries"
"4560100","Unbreakable","Unbreakable"
"4580100","Beverly Hills Chihuahua","Beverly Hills Chihuahua"
"4620100","The Mask of Zorro","Zorro"
"4670100","Cats & Dogs","Cats and Dogs"
"4710100","Red Dragon","Hannibal Lecter"
"4740100","Star Trek: First Contact","Star Trek"
"4800100","Save the Last Dance","Save the Last Dance"
"4810100","The Karate Kid","Karate Kid"
"4830100","Scary Movie 4","Scary Movie"
"4850100","Legally Blonde 2: Red, White & Blonde","Legally Blonde"
"4860100","The Scorpion King","Mummy"
"4860100","The Scorpion King","Scorpion King"
"4880100","High School Musical 3: Senior Year","High School Musical"
"4890100","Madea Goes To Jail","Madea"
"4910100","Space Jam","Space Jam"
"4990100","Scream 3","Scream"
"5020100","Inside Man","Inside Man"
"5090100","Back to the Future Part III","Back to the Future"
"5130100","Saw II","Saw"
"5190100","Mean Girls","Mean Girls"
"5200100","Spy Kids 2: The Island of Lost Dreams","Spy Kids"
"5210100","Pokemon: The First Movie","Pokemon"
"5220100","SpongeBob SquarePants: The Movie","SpongeBob SquarePants"
"5230100","Brother Bear","Brother Bear"
"5250100","Rocky 2","Rocky"
"5260100","Aliens","Alien"
"5270100","Open Season","Open Season"
"5280100","Cinderella","Cinderella"
"5300100","The Santa Clause 3: The Escape Clause","Santa Clause"
"5320100","Scooby-Doo 2: Monsters Unleashed","Scooby-Doo"
"5330100","Anchorman: The Legend of Ron Burgundy","Anchorman"
"5360100","The X Files: Fight the Future","X-Files"
"5400100","Airplane!","Airplane"
"5420100","Fantasia","Fantasia"
"5510100","Freddy vs. Jason","Friday the 13th"
"5510100","Freddy vs. Jason","Nightmare on Elm Street"
"5530100","Cheaper by the Dozen 2","Cheaper by the Dozen"
"5570100","The Pink Panther","Pink Panther"
"5590100","Blade 2","Blade"
"5640100","Die Hard","Die Hard"
"5650100","The Talented Mr. Ripley","Ripley"
"5750100","Alien","Alien"
"5780100","The Texas Chainsaw Massacre","Texas Chainsaw Massacre"
"5800100","AVP: Alien Vs. Predator","Alien"
"5800100","AVP: Alien Vs. Predator","Predator"
"5800100","AVP: Alien Vs. Predator","AVP"
"5820100","The Dukes of Hazzard","Dukes of Hazzard"
"5840100","Saw III","Saw"
"5870100","Jumper","Jumper"
"5880100","Cloverfield","Cloverfield"
"6190100","Rugrats in Paris","Rugrats Movie"
"6210100","The Untouchables","Untouchables"
"6260100","Hellboy II: The Golden Army","Hellboy"
"6280100","The Ring Two","Ring"
"6320100","Barbershop","Barbershop"
"6390100","Garfield: The Movie","Garfield"
"6420100","Old School","Old School"
"6540100","Sin City","Sin City"
"6590100","Deep Blue Sea","Deep Blue Sea"
"6660100","Jackass: Number Two","Jackass"
"6700100","I Know What You Did Last Summer","I Know What You Did Last Summer"
"6830100","Bridget Jones's Diary","Bridget Jones"
"6860100","National Lampoon's Christmas Vacation","National Lampoon's Vacation"
"6880100","Scary Movie 2","Scary Movie"
"7010100","Shaft","Shaft"
"7020100","Moonraker","James Bond"
"7040100","Rocky Balboa","Rocky"
"7060100","Star Trek: Insurrection","Star Trek"
"7080100","Big Momma's House 2","Big Momma's House"
"7090100","Blade","Blade"
"7110100","The Golden Compass","His Dark Materials"
"7120100","Kill Bill: Volume 1","Kill Bill"
"7220100","The Thomas Crown Affair","Thomas Crown Affair"
"7280100","Road Trip","Road Trip"
"7300100","Purple Rain","Purple Rain"
"7310100","Bring it On","Bring It On"
"7360100","Octopussy","James Bond"
"7590100","The Godfather: Part III","Godfather"
"7660100","Kill Bill: Volume 2","Kill Bill"
"7680100","Herbie: Fully Loaded","Herbie"
"7720100","Lara Croft: Tomb Raider: The Cradle of Life","Lara Croft"
"7740100","Anaconda","Anaconda"
"7750100","Deuce Bigalow: Male Gigolo","Deuce Bigelow"
"7780100","Step Up","Step Up"
"7800100","The Amityville Horror","Amityville"
"7820100","Barbershop 2: Back in Business","Barbershop"
"7850100","Friday the 13th","Friday the 13th"
"7880100","Stuart Little 2","Stuart Little"
"7960100","Jackass: The Movie","Jackass"
"8030100","Dirty Dancing","Dirty Dancing"
"8100100","Babe","Babe"
"8110100","Thunderball","James Bond"
"8190100","Saw IV","Saw"
"8220100","Madea's Family Reunion","Madea"
"8230100","The Final Destination","Final Destination"
"8280100","Jarhead","Jarhead "
"8290100","The Fast and the Furious: Tokyo Drift","Fast and the Furious"
"8340100","Underworld: Evolution","Underworld"
"8410100","Stomp the Yard","Stomp the Yard"
"8550100","Jingle All the Way","Jingle All the Way"
"8590100","Shanghai Knights","Shanghai Noon"
"8650100","Bad Santa","Bad Santa"
"8740100","The Benchwarmers","Benchwarmers"
"8750100","Predator","Predator"
"8760100","Hellboy","Hellboy"
"8870100","Behind Enemy Lines","Behind Enemy Lines"
"8900100","Curious George","Curious George"
"8990100","Halloween","Halloween"
"9020100","Without a Paddle","Without a Paddle"
"9040100","Step Up 2 the Streets","Step Up"
"9060100","The Butterfly Effect","Butterfly Effect"
"9090100","U.S. Marshals","Fugitive"
"9110100","The Chronicles of Riddick","Riddick"
"9170100","Moulin Rouge","The Red Curtain Trilogy"
"9230100","The Whole Nine Yards","Whole Nine Yards"
"9240100","The Blues Brothers","Blues Brothers"
"9250100","Next Friday","Friday"
"9340100","Beethoven","Beethoven"
"9360100","Shanghai Noon","Shanghai Noon"
"9370100","Saw V","Saw"
"9480100","Once Upon a Time in Mexico","El Mariachi"
"9510100","White Noise","White Noise"
"9550100","Wallace & Gromit: The Curse of the Were-Rabbit","Wallace and Gromit"
"9580100","Be Cool","Get Shorty"
"9640100","Never Say Never Again","James Bond"
"9680100","The Haunting in Connecticut","Haunting in Connecticut"
"9700100","Why Did I Get Married?","Why Did I Get Married"
"9710100","Saw","Saw"
"9730100","Halloween: H2O","Halloween"
"9780100","Alien 3","Alien"
"9790100","For Your Eyes Only","James Bond"
"9800100","Starship Troopers","Starship Troopers"
"9870100","TMNT","Teenage Mutant Ninja Turtles"
"9880100","Final Destination 3","Final Destination"
"9920100","Austin Powers: International Man of Mystery","Austin Powers"
"10080100","Final Destination","Final Destination"
"10290100","The Strangers","The Strangers"
"10300100","Blade: Trinity","Blade"
"10430100","Underworld","Underworld"
"10490100","Finding Neverland","Peter Pan"
"10520100","A Cinderella Story","A Cinderella Story"
"10560100","Hoodwinked","Hoodwinked"
"10620100","The Living Daylights","James Bond"
"10640100","Goldfinger","James Bond"
"10800100","Resident Evil: Apocalypse","Resident Evil"
"10840100","Resident Evil: Extinction","Resident Evil"
"10850100","The Crow","Crow"
"10890100","The Love Bug","Herbie"
"10930100","Diary of a Mad Black Woman","Madea"
"10940100","A View to a Kill","James Bond"
"11340100","The Omen","Omen"
